recipients,suppliers,year,quantity,weapon description,status
Panama,United States,1975,12,helicopter,Second hand
Panama,United States,1972,12,APC,New
Panama,United States,1975,1,gunboat,Second hand
South Korea,United States,1980,50,tank,Second hand
Haiti,United States,1975,1,light transport aircraft,New
Haiti,United States,1973,3,trainer/light aircraft,New
Haiti,United States,1977,1,light transport aircraft,Second hand
Jamaica,United States,1972,1,patrol craft,New
Guatemala,United States,1955,1,light transport aircraft,New
Guatemala,United States,1974,3,helicopter,Second hand
Jamaica,United States,1974,4,light helicopter,New
Jamaica,United States,1977,14,APC,New
Costa Rica,United States,1984,3,APC,New
Costa Rica,United States,1974,2,helicopter,Second hand
Costa Rica,United States,1954,4,fighter aircraft,Second hand
Costa Rica,United States,1965,2,light helicopter,New
Costa Rica,United States,1974,3,light transport aircraft,Second hand
Costa Rica,United States,1962,3,light aircraft,New
Guatemala,United States,1961,4,towed gun,Second hand
Guatemala,United States,1951,6,transport aircraft,Second hand
Guatemala,United States,1954,12,trainer aircraft,Second hand
Guatemala,United States,1967,1,trainer/light aircraft,New
Guatemala,United States,1967,12,fighter aircraft,Second hand but modernized
Guatemala,United States,1981,10,light tank,Second hand
Guatemala,United States,1968,7,APC,New
El Salvador,United States,1969,3,transport aircraft,Second hand
El Salvador,United States,1973,4,trainer/light aircraft,New
El Salvador,United States,1962,9,light aircraft,New
Dominican Republic,United States,1976,3,support ship,Second hand
Honduras,United States,1961,3,reconnaissance aircraft,Second hand
Honduras,United States,1961,1,transport aircraft,Second hand
Honduras,United States,1956,12,trainer aircraft,Second hand
Honduras,United States,1976,4,fighter aircraft,Second hand
Dominican Republic,United States,1959,1,landing ship,Second hand
Honduras,United States,1986,5,helicopter,New
Dominican Republic,United States,1964,2,OPV,Second hand
Dominican Republic,United States,1958,22,towed gun,Second hand
Dominican Republic,United States,1979,8,APC,New
Dominican Republic,United States,1982,12,light tank,Second hand
Dominican Republic,United States,1960,1,transport aircraft,Second hand
Dominican Republic,United States,1956,3,light aircraft,New
Dominican Republic,United States,1951,2,light transport aircraft,New
Honduras,United States,1968,2,transport aircraft,Second hand
Nicaragua,United States,1959,12,towed gun,Second hand
Nicaragua,United States,1954,15,trainer aircraft,Second hand
Nicaragua,United States,1953,12,fighter aircraft,Second hand
Nicaragua,United States,1971,12,helicopter,Second hand
Nicaragua,United States,1957,6,transport aircraft,Second hand
Nicaragua,United States,1976,6,light transport aircraft,Second hand
Nicaragua,United States,1976,1,light aircraft,Second hand
Nicaragua,United States,1975,10,light aircraft,New
Nicaragua,United States,1971,2,light aircraft,New
Nicaragua,United States,1954,10,tank,Second hand
Mexico,United States,1950,2,transport aircraft,Second hand
Mexico,United States,1974,3,transport aircraft,Second hand
Mexico,United States,1950,4,light transport aircraft,Second hand
Mexico,United States,1974,7,light transport aircraft,New
Mexico,United States,1972,20,light transport aircraft,New
Mexico,United States,1969,2,destroyer,Second hand
Mexico,United States,1972,1,frigate,Second hand
Mexico,United States,1972,1,OPV,Second hand
Mexico,United States,1972,19,OPV,Second hand
Mexico,United States,1962,15,OPV,Second hand
Mexico,United States,1971,3,landing ship,Second hand
Mexico,United States,1962,4,frigate/landing ship,Second hand
Mexico,United States,1969,2,frigate/landing ship,Second hand
Mexico,United States,1960,60,towed gun,Second hand
Cuba,United States,1950,10,trainer aircraft,Second hand
Bangladesh,United States,1981,50,towed gun,Second hand
Pakistan,United States,1951,1,light helicopter,New
Pakistan,United States,1975,12,light helicopter,New
Pakistan,United States,1960,60,towed gun,Second hand
Pakistan,United States,1954,26,towed gun,Second hand
Pakistan,United States,1954,30,towed gun,Second hand
Pakistan,United States,1960,1,light transport aircraft,New
Pakistan,United States,1977,2,light transport aircraft,New
Pakistan,United States,1959,1,light aircraft,New
Pakistan,United States,1979,1,light aircraft,New
Pakistan,United States,1954,150,self-propelled gun,Second hand
Colombia,United States,2001,2,light aircraft,Second hand
India,United States,1956,2,helicopter,New
Pakistan,United States,1958,500,SRAAM,New
Pakistan,United States,1982,10,combat helicopter,New
South Korea,United States,1986,732,portable SAM,New
Panama,United States,1984,2,helicopter,New
Netherlands,United States,1986,25,anti-ship missile,New
Malaysia,United States,1985,2,maritime patrol aircraft,Second hand but modernized
Egypt,United States,1985,48,self-propelled gun,New
Anti-Castro rebels (Cuba)*,United States,1961,5,light tank,Second hand
Bahrain,United States,1986,54,tank,New
Tanzania,United States,1972,1,light aircraft,New
Taiwan,United States,1985,9,ASW aircraft,Second hand
Niger,United States,1969,1,light aircraft,New
Pakistan,United States,1985,110,APC,New
Pakistan,United States,1985,52,self-propelled gun,New
Oman,United States,1985,300,SRAAM,New
Netherlands,United States,1986,1878,anti-tank missile,New
Netherlands,United States,1985,78,SAM,New
Biafra,United States,1967,1,bomber aircraft,Second hand
Mauritius,United States,1968,1,light aircraft,New
Mexico,United States,1985,21,light aircraft,New
Libya,United States,1964,5,light helicopter,New
Libya,United States,1965,15,APC,New
South Korea,United States,1987,18,transport helicopter,New
South Korea,United States,1986,42,combat helicopter,New
Israel,United States,1985,2,helicopter,Second hand
Cameroon,United States,1971,2,light aircraft,New
UAE,United States,1976,3,helicopter,New
Kuwait,United States,1983,100,APC,New
Jordan,United States,1973,20,towed gun,Second hand
Jordan,United States,1965,20,towed gun,Second hand
Jordan,United States,1964,4,towed gun,Second hand
Jordan,United States,1968,126,self-propelled gun,New
Kuwait,United States,1976,5,SAM system,New
Jordan,United States,1974,30,self-propelled gun,New
Jordan,United States,1978,73,self-propelled gun,Second hand but modernized
Jordan,United States,1967,30,towed gun,Second hand
Jordan,United States,1965,20,self-propelled gun,Second hand
Jordan,United States,1977,20,towed gun,Second hand
Jordan,United States,1972,3,transport aircraft,Second hand
Jordan,United States,1975,300,portable SAM,New
Jordan,United States,1973,50,towed gun,New
Syria,United States,1954,6,fighter aircraft,Second hand
Israel,United States,1952,38,trainer aircraft,Second hand
Israel,United States,1975,61,helicopter,New
Israel,United States,1973,5,transport aircraft,New
Israel,United States,1976,7,transport aircraft,New
Israel,United States,1962,6,SAM system,New
Israel,United States,1967,3,SAM system,New
Saudi Arabia,United States,1965,10,SAM system,New
Thailand,United States,1982,34,towed gun,Second hand
Saudi Arabia,United States,1975,4,landing craft,New
Saudi Arabia,United States,1979,87,self-propelled gun,New
Saudi Arabia,United States,1976,100,towed gun,Second hand
Saudi Arabia,United States,1976,50,towed gun,Second hand
Israel,United States,1967,60,towed gun,Second hand
Thailand,United States,1951,2,frigate,Second hand
Thailand,United States,1983,44,towed gun,New
Thailand,United States,1975,1,landing ship,Second hand
Thailand,United States,1959,2,light transport aircraft,New
Thailand,United States,1971,21,trainer/light aircraft,Second hand
Thailand,United States,1972,3,light aircraft,New
Thailand,United States,1946,4,patrol craft,Second hand
Thailand,United States,1954,3,patrol craft,Second hand
Thailand,United States,1964,10,patrol craft,New
Thailand,United States,1962,4,minesweeper,New
Thailand,United States,1982,24,AA gun,New
Thailand,United States,1969,6,trainer aircraft,Second hand
Thailand,United States,1969,14,light aircraft,Second hand
Thailand,United States,1966,13,trainer aircraft,Second hand
Thailand,United States,1961,7,trainer aircraft,Second hand
Thailand,United States,1968,4,light transport aircraft,New
Thailand,United States,1974,4,SIGINT aircraft,Second hand
Thailand,United States,1962,1,light transport aircraft,New
Thailand,United States,1970,58,light aircraft,Second hand
Thailand,United States,1972,14,ground attack aircraft,Second hand
Thailand,United States,1982,2,light aircraft,New
Thailand,United States,1972,17,ground attack aircraft,New
Thailand,United States,1980,2,light transport aircraft,Second hand
Thailand,United States,1977,1,light transport aircraft,New
Singapore,United States,1975,2,minesweeper,Second hand
Thailand,United States,1952,3,transport aircraft,Second hand
Singapore,United States,1983,8,FGA aircraft,New
Singapore,United States,1977,2,transport aircraft,Second hand
Philippines,United States,1975,3,landing ship,Second hand
Philippines,United States,1962,150,SRAAM,New
Singapore,United States,1969,250,APC,New
Singapore,United States,1974,40,APC,New
Philippines,United States,1972,11,ground attack aircraft,Second hand
Philippines,United States,1971,2,landing ship,Second hand
Philippines,United States,1975,17,APC,Second hand
Philippines,United States,1977,25,APC,New
Philippines,United States,1980,20,APC,New
Philippines,United States,1975,51,APC,New
Philippines,United States,1959,3,landing ship,Second hand
Philippines,United States,1968,2,landing ship,Second hand
Philippines,United States,1970,2,reconnaissance aircraft,Second hand
Philippines,United States,1961,5,trainer aircraft,Second hand
Philippines,United States,1975,1,frigate,Second hand
Philippines,United States,1975,3,corvette,Second hand
Philippines,United States,1975,1,patrol craft,Second hand
Philippines,United States,1969,20,trainer/combat aircraft,Second hand
Philippines,United States,1961,1,helicopter,New
Philippines,United States,1981,3,light aircraft,New
Philippines,United States,1970,28,helicopter,New
Philippines,United States,1976,17,helicopter,New
Philippines,United States,1982,15,helicopter,Second hand but modernized
Philippines,United States,1961,1,light aircraft,New
Philippines,United States,1964,13,light aircraft,New
Philippines,United States,1962,8,light aircraft,New
Thailand,United States,1966,1,reconnaissance aircraft,Second hand
Philippines,United States,1975,4,OPV/support ship,Second hand
Philippines,United States,1967,1,patrol craft,Second hand
Philippines,United States,1957,1,patrol craft,Second hand
Philippines,United States,1971,2,minesweeper,Second hand
Thailand,United States,1965,1,gunboat,Second hand
Philippines,United States,1960,1,frigate,Second hand
Thailand,United States,1973,23,light helicopter,Second hand
Sweden,United States,1985,16,light helicopter,New
Singapore,United States,1985,8,FGA aircraft,New
Pakistan,United States,1985,100,portable SAM,New
Norway,United States,1985,7612,anti-tank missile,New
Ecuador,United States,1986,19,trainer aircraft,Second hand but modernized
Malaysia,United States,1980,30,SRAAM,New
Brazil,United States,1985,16,light helicopter,New
Malaysia,United States,1976,8,transport helicopter,New
Malaysia,United States,1974,2,landing ship,Second hand
Malaysia,United States,1980,1,FGA aircraft,New
Myanmar,United States,1967,1,OPV,Second hand
Iran,United States,1964,2,trainer/light aircraft,New
Myanmar,United States,1965,1,corvette,Second hand
Myanmar,United States,1964,1,light transport aircraft,New
Myanmar,United States,1957,6,patrol craft,New
Brunei,United States,1982,7,helicopter,New
Iran,United States,1971,2,destroyer,Second hand but modernized
Iran,United States,1970,16,SAM,New
Iran,United States,1964,69,light aircraft,New
Iran,United States,1965,3,patrol craft,New
Ethiopia,United States,1970,12,towed gun,Second hand
Australia,United States,1965,3,air search radar,New
Iran,United States,1967,100,towed gun,Second hand
Ethiopia,United States,1970,52,towed gun,Second hand
Iran,United States,1960,250,towed gun,New
Iran,United States,1967,50,towed gun,Second hand
Gabon,United States,1977,9,APC,New
Ethiopia,United States,1975,12,APC,New
Madagascar,United States,1972,1,light aircraft,New
Madagascar,United States,1970,1,light aircraft,New
Liberia,United States,1972,8,towed gun,Second hand
Tunisia,United States,1965,30,towed gun,Second hand
Tunisia,United States,1973,1,frigate,Second hand
Morocco,United States,1976,14,towed gun,Second hand
Italy,United States,1956,195,SAM,New
Tanzania,United States,1981,2,light transport aircraft,New
Tanzania,United States,1972,7,light transport aircraft,New
Gabon,United States,1974,1,patrol craft,New
Nigeria,United States,1983,15,light helicopter,New
Libya,United States,1964,75,towed gun,Second hand
Portugal,United States,1985,3,air search radar,New
Tunisia,United States,1981,10,towed gun,Second hand
Tunisia,United States,1981,14,APC,New
Tunisia,United States,1978,14,tank,Second hand
Tunisia,United States,1968,10,self-propelled gun,Second hand
Tunisia,United States,1973,30,APC,New
Tunisia,United States,1977,354,SAM,New
Morocco,United States,1964,40,APC,Second hand
Morocco,United States,1976,36,self-propelled gun,New
Morocco,United States,1964,1,air search radar,New
Morocco,United States,1981,30,towed gun,Second hand
Algeria,United States,1978,5,light transport aircraft,New
Morocco,United States,1963,1,patrol craft,New
Indonesia,United States,1977,2,maritime patrol aircraft,Second hand
Indonesia,United States,1952,45,trainer aircraft,Second hand
Indonesia,United States,1960,2,light aircraft,New
Indonesia,United States,1964,1,light aircraft,New
Indonesia,United States,1958,3,patrol craft,New
Indonesia,United States,1970,1,support ship,Second hand
Japan,United States,1960,1,landing ship,Second hand
Indonesia,United States,1969,2,landing ship,Second hand
Indonesia,United States,1960,5,landing ship,Second hand
Indonesia,United States,1959,1,landing ship,Second hand
Indonesia,United States,1977,100,SRAAM,New
Indonesia,United States,1968,15,trainer/light aircraft,New
Turkiye,United States,1973,7,ASW aircraft,Second hand
Saudi Arabia,United States,1984,4,transport aircraft,New
El Salvador,United States,1979,1,light helicopter,New
Venezuela,United States,1970,10,helicopter,New
Sri Lanka,United States,1984,10,helicopter,New
Venezuela,United States,1980,1,light helicopter,New
El Salvador,United States,1981,5,light helicopter,New
Indonesia,United States,1971,4,light transport aircraft,New
Pakistan,United States,1986,2030,anti-tank missile,New
Venezuela,United States,1985,3,light transport aircraft,Second hand
Panama,United States,1982,1,helicopter,New
Panama,United States,1984,1,light aircraft,New
Peru,United States,1964,26,trainer/light aircraft,New
Japan,United States,1985,2,transport aircraft,New
Colombia,United States,1985,2,helicopter,New
Greece,United States,1958,6,landing ship,Second hand
Greece,United States,1973,1,submarine,Second hand
Greece,United States,1963,9,minesweeper,New
Greece,United States,1977,2,landing ship,Second hand
Greece,United States,1971,1,destroyer,Second hand
Greece,United States,1969,5,minesweeper,Second hand
Turkiye,United States,1963,6,patrol craft,New
Spain,United States,1972,2,landing craft,Second hand
Spain,United States,1969,120,SAM,New
Spain,United States,1959,1,submarine,Second hand but modernized
Spain,United States,1960,3,landing ship,Second hand
Spain,United States,1971,1,AALS,Second hand
Spain,United States,1971,3,landing ship,Second hand
Netherlands,United States,1983,40,anti-ship missile,New
Italy,United States,1959,1,tanker,Second hand
Denmark,United States,1975,125,anti-ship missile,New
Turkiye,United States,1969,3,minesweeper,Second hand
Turkiye,United States,1958,4,minesweeper,New
Turkiye,United States,1970,7,submarine,Second hand
Italy,United States,1971,120,SAM,New
Turkiye,United States,1950,2,submarine,Second hand but modernized
Turkiye,United States,1971,1,destroyer,Second hand but modernized
Turkiye,United States,1967,5,destroyer,Second hand
Italy,United States,1962,1,support ship,Second hand
Spain,United States,1964,1,AALS,Second hand
Taiwan,United States,1962,1,frigate/landing ship,Second hand
Italy,United States,1974,120,SAM,New
Italy,United States,1981,40,SAM,New
Italy,United States,1976,120,SAM,New
Italy,United States,1950,3,frigate,Second hand
Italy,United States,1969,3,destroyer,Second hand
Italy,United States,1973,2,submarine,Second hand
Spain,United States,1962,2,helicopter,New
Denmark,United States,1954,2,landing ship,Second hand but modernized
Australia,United States,1962,2,destroyer,New
Canada,United States,1967,1,submarine,Second hand
Canada,United States,1960,1,submarine,Second hand
Japan,United States,1963,120,SAM,New
Japan,United States,1958,1,landing ship,Second hand
France,United States,1954,1,landing ship,Second hand
South Korea,United States,1985,4,FGA aircraft,Second hand
Turkiye,United States,1975,22,FGA aircraft,New
Germany,United States,1965,3,destroyer,New
Germany,United States,1956,2,tanker,Second hand
Germany,United States,1957,2,gunboat,Second hand
Germany,United States,1958,4,landing ship,Second hand
Japan,United States,1958,10,transport aircraft,Second hand
Taiwan,United States,1972,20,trainer aircraft,Second hand
Peru,United States,1956,5,light aircraft,New
Peru,United States,1958,9,light aircraft,New
Peru,United States,1960,2,light transport aircraft,New
UAE,United States,1971,1,light aircraft,New
Paraguay,United States,1963,4,transport aircraft,Second hand
Paraguay,United States,1963,3,light aircraft,Second hand
Peru,United States,1968,6,trainer aircraft,Second hand
Peru,United States,1963,5,maritime patrol aircraft,Second hand
Peru,United States,1951,8,transport aircraft,Second hand
Peru,United States,1965,11,trainer aircraft,New
Peru,United States,1960,5,transport aircraft,Second hand
Peru,United States,1960,15,trainer aircraft,New
Peru,United States,1957,4,light transport aircraft,Second hand
Paraguay,United States,1960,2,transport aircraft,Second hand
Peru,United States,1958,4,transport aircraft,Second hand
Peru,United States,1956,5,light helicopter,New
Peru,United States,1950,2,light helicopter,New
Paraguay,United States,1955,2,light helicopter,New
Paraguay,United States,1970,20,light helicopter,Second hand
Panama,United States,1974,4,helicopter,New
Pakistan,United States,1954,345,tank,Second hand
Pakistan,United States,1960,12,fighter aircraft,Second hand but modernized
Pakistan,United States,1948,100,tank,Second hand
Pakistan,United States,1957,4,helicopter,New
Pakistan,United States,1973,2,transport aircraft,Second hand
Pakistan,United States,1953,50,light tank,New
Pakistan,United States,1953,150,light tank,Second hand
Pakistan,United States,1956,25,tank destroyer,Second hand
Pakistan,United States,1962,109,APC,New
Oman,United States,1973,1,light transport aircraft,Second hand
Oman,United States,1964,15,APC,New
Oman,United States,1974,5,helicopter,New
Oman,United States,1975,120,anti-tank missile,New
Nigeria,United States,1974,6,transport aircraft,New
Nigeria,United States,1971,3,light transport aircraft,New
Nigeria,United States,1974,1,light transport aircraft,New
Panama,United States,1970,7,helicopter,New
Philippines,United States,1972,10,light transport aircraft,Second hand
Norway,United States,1951,206,FGA aircraft,New
Canada,United States,1955,16,helicopter,New
Canada,United States,1959,24,light helicopter,New
Canada,United States,1961,6,transport helicopter,New
Canada,United States,1959,10,maritime patrol aircraft,New
South Vietnam,United States,1966,40,transport aircraft,Second hand
South Vietnam,United States,1968,6,transport aircraft,Second hand
South Vietnam,United States,1967,337,helicopter,Second hand
South Vietnam,United States,1970,30,transport helicopter,Second hand
South Vietnam,United States,1971,27,SIGINT aircraft,Second hand
Finland,United States,1973,75,SRAAM,New
Turkiye,United States,1979,1,destroyer,Second hand
Thailand,United States,1970,125,SRAAM,New
Taiwan,United States,1960,18,reconnaissance aircraft,Second hand
Taiwan,United States,1965,10,ASW aircraft,Second hand
Netherlands,United States,1967,105,FGA aircraft,New
Mexico,United States,1974,20,light aircraft,New
Liberia,United States,1975,2,trainer/light aircraft,Second hand
Netherlands,United States,1961,60,SAM,New
Israel,United States,1976,150,tank,New
Israel,United States,1962,288,SAM,New
Indonesia,United States,1960,35,fighter aircraft,Second hand
Germany,United States,1965,185,SAM,New
Germany,United States,1961,8,SSM launcher,New
Germany,United States,1959,1066,SAM,New
Germany,United States,1959,1050,SRAAM,New
Gabon,United States,1967,1,transport aircraft,Second hand
Ecuador,United States,1966,1,light aircraft,New
Denmark,United States,1956,7,helicopter,New
Denmark,United States,1970,12,light helicopter,New
Denmark,United States,1973,3,light helicopter,New
Chile,United States,1974,50,SRAAM,New
Colombia,United States,1954,42,trainer aircraft,New
Colombia,United States,1965,3,transport aircraft,Second hand
Colombia,United States,1962,3,transport aircraft,Second hand
Chile,United States,1961,2,light helicopter,New
Chile,United States,1957,3,maritime patrol aircraft,Second hand
Chile,United States,1968,4,light helicopter,New
Brazil,United States,1967,9,light helicopter,New
Canada,United States,1950,3,helicopter,New
Canada,United States,1951,10,light helicopter,New
Canada,United States,1954,4,AEW aircraft,Second hand
Canada,United States,1955,39,fighter aircraft,Second hand
Bolivia,United States,1974,2,light transport aircraft,New
Brazil,United States,1973,18,light helicopter,New
Bolivia,United States,1967,12,light helicopter,New
Canada,United States,1960,4,light aircraft,New
Canada,United States,1961,66,fighter aircraft,New
Belgium,United States,1958,750,SRAAM,New
North Yemen,United States,1950,2,light transport aircraft,New
Australia,United States,1961,24,helicopter,New
Australia,United States,1962,200,SAM,New
South Vietnam,United States,1968,1100,APC,New
Taiwan,United States,1966,12,trainer aircraft,Second hand
Australia,United States,1968,260,portable SAM,New
Australia,United States,1969,144,SRAAM,New
Australia,United States,1964,10,ASW aircraft,New
Australia,United States,1958,9,light aircraft,New
North Yemen,United States,1948,3,trainer aircraft,Second hand
Taiwan,United States,1954,7,reconnaissance aircraft,New
DR Congo,United States,1961,2,transport aircraft,Second hand
South Vietnam,United States,1964,14,light transport aircraft,Second hand
DR Congo,United States,1971,3,transport aircraft,New
Venezuela,United States,1971,12,trainer aircraft,New
Taiwan,United States,1965,2,maritime patrol aircraft,Second hand
Norway,United States,1949,10,transport aircraft,Second hand
Thailand,United States,1961,4,maritime patrol aircraft,Second hand
Turkiye,United States,1956,600,SRAAM,New
Norway,United States,1957,200,SRAAM,New
Uganda,United States,1965,1,light aircraft,New
Turkiye,United States,1960,50,trainer aircraft,New
Thailand,United States,1960,200,SRAAM,New
Turkiye,United States,1973,350,BVRAAM,New
Thailand,United States,1954,4,reconnaissance aircraft,New
Thailand,United States,1971,4,light helicopter,New
Uruguay,United States,1955,1,light helicopter,New
Taiwan,United States,1961,4,trainer aircraft,Second hand
Taiwan,United States,1966,15,light aircraft,Second hand
Taiwan,United States,1969,73,SAM,New
United Kingdom,United States,1958,12,SSM launcher,New
Taiwan,United States,1958,500,SRAAM,New
Saudi Arabia,United States,1956,60,light tank,Second hand
Saudi Arabia,United States,1971,20,FGA aircraft,New
Saudi Arabia,United States,1957,10,trainer aircraft,Second hand
Saudi Arabia,United States,1953,9,bomber aircraft,Second hand
Saudi Arabia,United States,1966,10,trainer aircraft,Second hand
Saudi Arabia,United States,1971,10,transport aircraft,New
Saudi Arabia,United States,1965,400,SAM,New
South Africa,United States,1955,200,SRAAM,New
South Africa,United States,1975,7,light transport aircraft,New
El Salvador,United States,1973,9,transport aircraft,Second hand
Malaysia,United States,1972,2,FGA aircraft,New
Philippines,United States,1967,6,helicopter,New
Libya,United States,1974,1,light transport aircraft,New
Malaysia,United States,1971,6,transport helicopter,New
Liberia,United States,1963,2,transport aircraft,Second hand
Laos,United States,1971,5,transport aircraft,Second hand
South Korea,United States,1964,50,self-propelled gun,Second hand
Lebanon,United States,1970,50,APC,New
South Korea,United States,1957,300,SRAAM,New
South Korea,United States,1968,5,helicopter,New
South Korea,United States,1970,50,self-propelled gun,New
Taiwan,United States,1966,5,frigate/landing ship,Second hand
Jordan,United States,1971,2,transport aircraft,Second hand
Jordan,United States,1973,6000,anti-tank missile,New
Taiwan,United States,1952,2,fighter aircraft,Second hand
Argentina,United States,1988,3,MP aircraft radar,New
Japan,United States,1962,60,SAM,New
Italy,United States,1972,5000,anti-tank missile,New
Israel,United States,1974,2,reconnaissance aircraft,Second hand
Israel,United States,1974,3000,anti-tank missile,New
Israel,United States,1974,17,transport helicopter,New
Israel,United States,1973,210,ASM,New
Israel,United States,1973,24,FGA aircraft,Second hand
Israel,United States,1968,550,ASM,New
Israel,United States,1969,60,self-propelled gun,New
Iran,United States,1970,700,BVRAAM,New
Iran,United States,1971,1811,SAM,New
Iran,United States,1967,400,SRAAM,New
Iran,United States,1966,125,SRAAM,New
Iran,United States,1960,700,SRAAM,New
India,United States,1969,10,light helicopter,New
Greece,United States,1966,10,light helicopter,New
Greece,United States,1957,8,SSM launcher,New
Germany,United States,1955,225,fighter aircraft,New
Germany,United States,1968,18,ground attack aircraft,New
Germany,United States,1965,46,trainer aircraft,New
Germany,United States,1957,26,helicopter,New
Germany,United States,1972,13000,anti-tank missile,New
Germany,United States,1963,1400,portable SAM,New
Germany,United States,1957,650,SAM,New
Germany,United States,1973,10,helicopter,New
Germany,United States,1965,47,trainer aircraft,New
Germany,United States,1961,90,helicopter,New
Germany,United States,1956,88,fighter aircraft,New
Germany,United States,1956,14,light helicopter,New
Taiwan,United States,1982,216,SRAAM,New
Egypt,United States,1952,1,light transport aircraft,Second hand
Brazil,United States,1960,6,transport aircraft,Second hand
Ecuador,United States,1970,10,trainer/light aircraft,New
Ecuador,United States,1972,24,trainer/light aircraft,New
UAE,United States,1971,3,light helicopter,New
Ecuador,United States,1963,1,transport aircraft,Second hand
Ecuador,United States,1965,2,transport aircraft,Second hand
Ecuador,United States,1966,1,light transport aircraft,New
Ecuador,United States,1962,8,trainer/light aircraft,New
Ecuador,United States,1968,1,transport aircraft,Second hand
Ecuador,United States,1966,20,APC,New
Dominican Republic,United States,1949,25,APC,Second hand
Denmark,United States,1953,67,light tank,Second hand
Dominican Republic,United States,1975,2,trainer aircraft,Second hand
Dominican Republic,United States,1950,6,light transport aircraft,Second hand
Colombia,United States,1968,30,trainer/light aircraft,New
Colombia,United States,1956,6,light transport aircraft,New
Colombia,United States,1957,6,light helicopter,New
Colombia,United States,1963,6,helicopter,New
Colombia,United States,1959,2,light helicopter,New
Colombia,United States,1965,2,transport aircraft,Second hand
Colombia,United States,1964,6,light helicopter,New
Colombia,United States,1962,3,helicopter,New
Colombia,United States,1966,12,light helicopter,New
Cuba,United States,1956,6,light helicopter,New
Cuba,United States,1956,1,light helicopter,New
Cuba,United States,1950,4,transport aircraft,Second hand
Chile,United States,1960,4,light helicopter,New
Chile,United States,1951,17,FGA aircraft,Second hand
Colombia,United States,1968,10,trainer aircraft,New
Chile,United States,1970,2,light aircraft,New
Chile,United States,1959,11,trainer aircraft,Second hand
Chile,United States,1963,3,transport aircraft,Second hand
Chile,United States,1955,4,trainer aircraft,New
Chile,United States,1960,4,light helicopter,New
Chile,United States,1952,20,trainer aircraft,New
Chile,United States,1959,4,transport aircraft,Second hand
Chile,United States,1951,10,trainer aircraft,New
Chile,United States,1953,10,transport aircraft,Second hand
Chile,United States,1954,5,light aircraft,New
Chile,United States,1954,10,light aircraft,New
Chile,United States,1950,36,trainer aircraft,New
Chile,United States,1950,5,light aircraft,New
Chile,United States,1971,1,transport aircraft,New
Canada,United States,1955,6,helicopter,New
Canada,United States,1959,4,transport aircraft,New
Brazil,United States,1960,11,transport aircraft,Second hand
Chile,United States,1970,9,light transport aircraft,New
Canada,United States,1947,30,trainer aircraft,New
Canada,United States,1951,75,bomber aircraft,Second hand
Canada,United States,1954,10,light helicopter,New
Canada,United States,1951,48,transport aircraft,New
Canada,United States,1954,25,ASW aircraft,New
Canada,United States,1961,4,light aircraft,New
Canada,United States,1959,14,FGA aircraft,New
Brazil,United States,1964,14,light transport aircraft,New
Canada,United States,1950,280,light transport aircraft,New
Brazil,United States,1956,8,light aircraft,Second hand
Brazil,United States,1968,25,trainer aircraft,New
Brazil,United States,1966,14,helicopter,New
Belgium,United States,1964,96,self-propelled gun,New
Bolivia,United States,1966,3,light helicopter,New
Belgium,United States,1962,41,self-propelled gun,New
Bolivia,United States,1970,10,APC,New
Chile,United States,1971,1,transport aircraft,New
Brazil,United States,1965,2,light aircraft,Second hand
Bolivia,United States,1968,5,light aircraft,New
Brazil,United States,1967,5,transport aircraft,New
Brazil,United States,1970,22,helicopter,New
Bolivia,United States,1972,6,light aircraft,New
Bolivia,United States,1972,3,fighter aircraft,Second hand
Bolivia,United States,1966,10,fighter aircraft,Second hand but modernized
Bolivia,United States,1971,1,light aircraft,New
Bolivia,United States,1964,6,trainer/light aircraft,New
Bolivia,United States,1953,15,trainer aircraft,Second hand
Belgium,United States,1970,11,self-propelled gun,New
Benin,United States,1970,1,light aircraft,New
Belgium,United States,1962,350,SAM,New
Bolivia,United States,1956,8,bomber aircraft,Second hand but modernized
Belgium,United States,1960,4,SSM launcher,New
Belgium,United States,1955,100,SAM,New
Belgium,United States,1964,3,FGA aircraft,New
Belgium,United States,1951,2,transport aircraft,Second hand
Belgium,United States,1958,2,transport aircraft,Second hand
Belgium,United States,1951,38,trainer aircraft,New
Australia,United States,1969,11,helicopter,New
Australia,United States,1972,12,transport helicopter,New
Australia,United States,1963,24,bomber aircraft,New
Australia,United States,1964,12,transport aircraft,New
Australia,United States,1965,10,light aircraft,New
Australia,United States,1965,8,helicopter,New
Australia,United States,1966,10,FGA aircraft,New
Australia,United States,1966,14,ASW aircraft,New
Australia,United States,1958,11,light helicopter,New
Australia,United States,1957,12,transport aircraft,New
DR Congo,United States,1962,3,light transport aircraft,New
DR Congo,United States,1961,6,transport aircraft,Second hand
DR Congo,United States,1962,3,transport aircraft,Second hand
DR Congo,United States,1961,3,light transport aircraft,New
DR Congo,United States,1975,12,APC,New
DR Congo,United States,1974,15,light transport aircraft,New
Burkina Faso,United States,1969,1,light aircraft,New
South Vietnam,United States,1972,235,APC,New
South Vietnam,United States,1953,3,light transport aircraft,Second hand
South Vietnam,United States,1960,4,light helicopter,Second hand
South Vietnam,United States,1969,20,transport helicopter,Second hand
South Vietnam,United States,1970,1,trainer aircraft,New
DR Congo,United States,1960,2,transport aircraft,Second hand
